,Station ID,AQI index,Location,Station name,Url,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Data Time Tz,Status,Alert level,Month
417,13012,33.0,"13.998599,107.996482","Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,1.0,11.1,45.7,1.0,40.0,929.8,27.0,33.0,1.0,23.5,8.0,2021-02-18 13:00:00,+07:00,Good,1,2
418,12488,64.0,"16.46226,107.596351","Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,pm10,1.0,18.5,67.0,14.952682926829269,6.90390243902439,1021.5,64.0,39.0,5.628780487804878,25.0,7.4,2021-02-18 14:00:00,+07:00,Moderate,2,2
419,13251,112.0,"21.04975,105.74187","Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,7.0,13.0,60.0,31.0,2.0,1024.5,77.0,112.0,2.0,21.0,2.8,2021-02-18 12:00:00,+07:00,Unhealthy for Sensitive Group,3,2
420,12976,83.0,"21.1137452,105.9268934","Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,3.0,12.0,53.0,8.0,24.0,1024.0,51.0,83.0,4.0,22.0,2.0,2021-02-18 13:00:00,+07:00,Moderate,2,2
422,5507,24.0,"20.9416,107.1158","Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,8.866341463414633,17.6,63.1,14.952682926829269,63.0,1009.8,19.0,24.0,5.628780487804878,25.1,3.0,2021-02-18 13:00:00,+07:00,Good,1,2
424,12958,101.0,"21.1232473,106.2883295","Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,5.0,12.0,53.0,14.0,32.0,1024.0,56.0,101.0,15.0,22.0,2.0,2021-02-18 13:00:00,+07:00,Unhealthy for Sensitive Group,3,2
425,12957,110.80975609756098,"21.0272212,106.0342099","Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh,pm25,3.0,12.0,53.0,9.0,6.90390243902439,1023.5,66.0390243902439,107.60487804878049,8.0,22.0,2.3,2021-02-18 14:00:00,+07:00,Unhealthy for Sensitive Group,3,2
426,13015,116.0,"21.03982,105.84726","Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,38.0,13.0,60.0,30.0,6.90390243902439,1024.5,79.0,116.0,5.628780487804878,21.0,2.8,2021-02-18 12:00:00,+07:00,Unhealthy for Sensitive Group,3,2
427,13018,95.0,"20.98832,105.854897","Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,9.0,12.0,53.0,12.0,6.90390243902439,1024.0,51.0,95.0,5.628780487804878,22.0,2.0,2021-02-18 12:00:00,+07:00,Moderate,2,2
428,13019,98.0,"21.01994,105.77056","Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,5.0,12.0,53.0,22.0,6.90390243902439,1023.5,62.0,98.0,5.628780487804878,22.0,2.3,2021-02-18 13:00:00,+07:00,Moderate,2,2
429,13026,101.0,"21.01525,105.80013","Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,5.0,12.0,53.0,14.0,4.0,1023.5,59.0,101.0,1.0,22.0,2.3,2021-02-18 13:00:00,+07:00,Unhealthy for Sensitive Group,3,2
